metric,delay_window_1_7,delay_window_1_14,delay_window_1_21
percent_pateint_delayed,"19.5
(95%CI: 18.1-21.0)","22.8
(95%CI: 21.3-24.4)","24.7
(95%CI: 22.6-26.8)"
mean_n_miss,"1.36
(95%CI: 1.31-1.41)","1.45
(95%CI: 1.39-1.51)","1.52
(95%CI: 1.42-1.61)"
mean_dur,"2.92
(95%CI: 2.79-3.05)","4.02
(95%CI: 3.67-4.43)","4.87
(95%CI: 4.19-5.57)"
