metric,delay_window_1_56,delay_window_1_63,delay_window_1_70
percent_pateint_delayed,"39.6
(95%CI: 36.5-42.1)","41.0
(95%CI: 38.2-43.4)","41.9
(95%CI: 38.9-44.4)"
mean_n_miss,"3.05
(95%CI: 2.72-3.36)","3.23
(95%CI: 2.9-3.57)","3.3
(95%CI: 2.94-3.66)"
mean_dur,"24.70
(95%CI: 22.77-26.36)","26.82
(95%CI: 24.57-28.96)","28.48
(95%CI: 26.01-31.08)"
