drug_name,ndcnum
levofloxacin,52959049207
levofloxacin,52959049210
levofloxacin,52959049212
levofloxacin,52959049214
levofloxacin,52959049230
levofloxacin,52959069003
levofloxacin,52959069005
levofloxacin,52959069007
levofloxacin,52959069014
levofloxacin,52959069030
levofloxacin,52959078207
levofloxacin,52959078210
levofloxacin,52959078220
levofloxacin,53217019905
levofloxacin,53217019907
levofloxacin,53217019910
levofloxacin,53217019914
levofloxacin,53217019920
levofloxacin,53217019930
levofloxacin,53217031805
levofloxacin,53217031807
levofloxacin,53217031810
levofloxacin,53217031830
levofloxacin,54569448900
levofloxacin,54569448901
levofloxacin,54569448902
levofloxacin,54569448903
levofloxacin,54569448904
levofloxacin,54569448905
levofloxacin,54569467700
levofloxacin,54569491500
levofloxacin,54569491501
levofloxacin,54569491502
levofloxacin,54569520600
levofloxacin,54569555701
levofloxacin,54569611501
levofloxacin,54569623700
levofloxacin,54569623701
levofloxacin,54569623702
levofloxacin,54569623703
levofloxacin,54569623704
levofloxacin,54569623800
levofloxacin,54569623801
levofloxacin,54569623802
levofloxacin,54569624100
levofloxacin,54569624101
levofloxacin,54569830700
levofloxacin,54868392300
levofloxacin,54868392301
levofloxacin,54868392302
levofloxacin,54868392303
levofloxacin,54868392304
levofloxacin,54868392305
levofloxacin,54868392306
levofloxacin,54868392307
levofloxacin,54868417500
levofloxacin,54868417501
levofloxacin,54868417502
levofloxacin,54868417503
levofloxacin,54868417504
levofloxacin,54868417505
levofloxacin,54868469200
levofloxacin,54868497100
levofloxacin,54868497101
levofloxacin,54868627700
levofloxacin,54868627701
levofloxacin,54868627800
levofloxacin,54868627801
levofloxacin,54868627802
levofloxacin,54868627803
levofloxacin,54868627804
levofloxacin,54868627900
levofloxacin,54868627901
levofloxacin,54868627902
levofloxacin,55045259701
levofloxacin,55045259702
levofloxacin,55045259703
levofloxacin,55045259705
levofloxacin,55045259706
levofloxacin,55045259708
levofloxacin,55045331008
levofloxacin,55045353201
levofloxacin,55048042507
levofloxacin,55048047814
levofloxacin,55111027950
levofloxacin,55111028050
levofloxacin,55111028130
levofloxacin,55150015620
levofloxacin,55150015730
levofloxacin,55150024346
levofloxacin,55150024447
levofloxacin,55150024552
levofloxacin,55175190001
levofloxacin,55289039405
levofloxacin,55289039407
levofloxacin,55289071107
levofloxacin,55289071110
levofloxacin,55289071114
levofloxacin,55289084103
levofloxacin,55289084110
levofloxacin,55700012007
levofloxacin,55700012010
levofloxacin,55700012014
levofloxacin,55700012020
levofloxacin,55700012021
levofloxacin,55700016410
levofloxacin,55700023310
levofloxacin,55700023314
levofloxacin,55700032710
levofloxacin,55700043407
levofloxacin,55700043410
levofloxacin,55700043414
levofloxacin,55700045407
levofloxacin,55700045410
levofloxacin,55700045414
levofloxacin,55887081007
levofloxacin,57866658401
levofloxacin,57866658501
levofloxacin,57866658503
levofloxacin,58016057300
levofloxacin,58016057307
levofloxacin,58016057310
levofloxacin,58016057320
levofloxacin,58016057330
levofloxacin,58016057360
levofloxacin,58016057390
levofloxacin,58016092400
levofloxacin,58016092430
levofloxacin,58016092450
levofloxacin,58016092460
levofloxacin,58016092490
levofloxacin,58016097500
levofloxacin,58016097530
levofloxacin,58016097560
levofloxacin,58016097590
levofloxacin,58016155501
levofloxacin,58864003410
levofloxacin,58864003414
levofloxacin,59762027802
levofloxacin,59762027902
levofloxacin,59762028003
levofloxacin,61919035910
levofloxacin,61919070407
levofloxacin,61919070410
levofloxacin,61919074105
levofloxacin,61919074110
levofloxacin,61919074114
levofloxacin,61919086707
levofloxacin,61919086710
levofloxacin,61919086714
levofloxacin,61919098710
levofloxacin,61919099207
levofloxacin,61919099210
levofloxacin,61919099214
levofloxacin,61919099230
levofloxacin,62682103903
levofloxacin,62991270701
levofloxacin,62991270702
levofloxacin,62991270703
levofloxacin,63187000307
levofloxacin,63187000310
levofloxacin,63187000410
levofloxacin,63187004710
levofloxacin,63187004805
levofloxacin,63187038405
levofloxacin,63187038407
levofloxacin,63187038410
levofloxacin,63187043805
levofloxacin,63187043810
levofloxacin,63187051407
levofloxacin,63187083307
levofloxacin,63187083310
levofloxacin,63323035550
levofloxacin,63323035560
levofloxacin,63323035565
levofloxacin,63629452601
levofloxacin,63629452602
levofloxacin,63629452603
levofloxacin,63629452604
levofloxacin,63629452605
levofloxacin,63629484301
levofloxacin,63629484302
levofloxacin,63629484303
levofloxacin,63629484304
levofloxacin,63874052301
levofloxacin,63874052303
levofloxacin,63874052305
levofloxacin,63874052306
levofloxacin,63874052307
levofloxacin,63874052310
levofloxacin,63874052314
levofloxacin,63874052320
levofloxacin,63874052330
levofloxacin,64376013001
levofloxacin,64376013051
levofloxacin,64376013055
levofloxacin,64376013101
levofloxacin,64376013151
levofloxacin,64376013155
levofloxacin,64376013201
levofloxacin,64376013222
levofloxacin,64376013255
levofloxacin,64679054402
levofloxacin,64679054403
levofloxacin,64679054502
levofloxacin,64679054503
levofloxacin,64679054701
levofloxacin,64679054702
levofloxacin,64679054703
levofloxacin,65086013505
levofloxacin,65086013599
levofloxacin,65862053650
levofloxacin,65862053750
levofloxacin,65862053820
levofloxacin,66105047705
levofloxacin,66105047805
levofloxacin,66116020007
levofloxacin,66116020107
levofloxacin,66116020114
levofloxacin,66267036307
levofloxacin,66267036310
levofloxacin,66267036314
levofloxacin,66336038607
levofloxacin,66336038610
levofloxacin,66336045503
levofloxacin,66336045510
levofloxacin,66336045607
levofloxacin,66336045610
levofloxacin,66336045614
levofloxacin,66336045705
levofloxacin,66336045707
levofloxacin,66336045714
levofloxacin,66336045744
levofloxacin,66336083005
levofloxacin,68071083810
levofloxacin,68071085102
levofloxacin,68084048101
levofloxacin,68084048111
levofloxacin,68084048201
levofloxacin,68084048211
levofloxacin,68084048301
levofloxacin,68084048311
levofloxacin,68115019610
levofloxacin,68115019710
levofloxacin,68180024001
levofloxacin,68180024008
levofloxacin,68180024101
levofloxacin,68180024102
levofloxacin,68180024108
levofloxacin,68180024201
levofloxacin,68180024220
levofloxacin,68382001501
levofloxacin,68382001518
levofloxacin,68382001601
levofloxacin,68382001618
levofloxacin,68382001701
levofloxacin,68382001718
levofloxacin,68669013505
levofloxacin,68669014505
levofloxacin,69097028207
levofloxacin,69097028270
levofloxacin,69097028707
levofloxacin,69097028781
levofloxacin,69097028907
levofloxacin,69097028970
ciprofloxacin,00026851106
ciprofloxacin,00026851248
ciprofloxacin,00026851250
ciprofloxacin,00026851251
ciprofloxacin,00026851348
ciprofloxacin,00026851350
ciprofloxacin,00026851351
ciprofloxacin,00026851448
ciprofloxacin,00026851450
ciprofloxacin,00026852736
ciprofloxacin,00026852763
ciprofloxacin,00026853110
ciprofloxacin,00026855136
ciprofloxacin,00026855236
ciprofloxacin,00026855336
ciprofloxacin,00026855463
ciprofloxacin,00026856220
ciprofloxacin,00026856464
ciprofloxacin,00026856665
ciprofloxacin,00026888950
ciprofloxacin,00026888951
ciprofloxacin,00026889750
ciprofloxacin,00026889751
ciprofloxacin,00026889769
ciprofloxacin,00065065435
ciprofloxacin,00065065605
ciprofloxacin,00065065610
ciprofloxacin,00065065625
ciprofloxacin,00065853110
ciprofloxacin,00065853302
ciprofloxacin,00069324115
ciprofloxacin,00069324122
ciprofloxacin,00069334215
ciprofloxacin,00069334222
ciprofloxacin,00069439519
ciprofloxacin,00069439627
ciprofloxacin,00085173101
ciprofloxacin,00085174102
ciprofloxacin,00085175401
ciprofloxacin,00085175402
ciprofloxacin,00085175502
ciprofloxacin,00085175601
ciprofloxacin,00085175602
ciprofloxacin,00085175801
ciprofloxacin,00085175802
ciprofloxacin,00085175901
ciprofloxacin,00085176201
ciprofloxacin,00085176303
ciprofloxacin,00085177301
ciprofloxacin,00085177501
ciprofloxacin,00085177502
ciprofloxacin,00085177701
ciprofloxacin,00085177801
ciprofloxacin,00085177802
ciprofloxacin,00085177803
ciprofloxacin,00085178101
ciprofloxacin,00085178201
ciprofloxacin,00093086301
ciprofloxacin,00093086401
ciprofloxacin,00093086553
ciprofloxacin,00143203701
ciprofloxacin,00143992701
ciprofloxacin,00143992801
ciprofloxacin,00143992950
ciprofloxacin,00172531110
ciprofloxacin,00172531160
ciprofloxacin,00172531200
ciprofloxacin,00172531210
ciprofloxacin,00172531260
ciprofloxacin,00172531270
ciprofloxacin,00172531310
ciprofloxacin,00172531360
ciprofloxacin,00182263101
ciprofloxacin,00182272101
ciprofloxacin,00182272136
ciprofloxacin,00182272219
ciprofloxacin,00185044201
ciprofloxacin,00185045101
ciprofloxacin,00185047053
ciprofloxacin,00338096037
ciprofloxacin,00338096048
ciprofloxacin,00378132201
ciprofloxacin,00378132205
ciprofloxacin,00378132301
ciprofloxacin,00378132305
ciprofloxacin,00378132489
ciprofloxacin,00378174389
ciprofloxacin,00378174589
ciprofloxacin,00378709701
ciprofloxacin,00378709801
ciprofloxacin,00378709989
ciprofloxacin,00403038318
ciprofloxacin,00403060102
ciprofloxacin,00403060110
ciprofloxacin,00403060114
ciprofloxacin,00403060120
ciprofloxacin,00403060130
ciprofloxacin,00403302720
ciprofloxacin,00403351114
ciprofloxacin,00403351120
ciprofloxacin,00409476586
ciprofloxacin,00409477702
ciprofloxacin,00409477723
ciprofloxacin,00409477749
ciprofloxacin,00409477750
ciprofloxacin,00409477761
ciprofloxacin,00409477762
ciprofloxacin,00409477886
ciprofloxacin,00440729006
ciprofloxacin,00440729120
ciprofloxacin,00527138401
ciprofloxacin,00527138501
ciprofloxacin,00527138650
ciprofloxacin,00555037987
ciprofloxacin,00555038087
ciprofloxacin,00555069402
ciprofloxacin,00555069502
ciprofloxacin,00555069610
ciprofloxacin,00555081402
ciprofloxacin,00555081502
ciprofloxacin,00555081610
ciprofloxacin,00703095603
ciprofloxacin,00703095803
ciprofloxacin,00703096036
ciprofloxacin,00703096936
ciprofloxacin,00781176301
ciprofloxacin,00781176501
ciprofloxacin,00781176701
ciprofloxacin,00781323909
ciprofloxacin,00781324009
ciprofloxacin,00904581361
ciprofloxacin,00904584261
ciprofloxacin,00904637861
ciprofloxacin,01478910005
ciprofloxacin,10135047501
ciprofloxacin,10370010705
ciprofloxacin,10370010805
ciprofloxacin,10544003606
ciprofloxacin,10544007906
ciprofloxacin,10544007914
ciprofloxacin,10544014706
ciprofloxacin,10544014710
ciprofloxacin,10544014714
ciprofloxacin,10544014806
ciprofloxacin,10544014810
ciprofloxacin,10544014820
ciprofloxacin,10544030710
ciprofloxacin,10544039810
ciprofloxacin,10544043210
ciprofloxacin,10544060306
ciprofloxacin,10544060310
ciprofloxacin,10544060406
ciprofloxacin,10544060414
ciprofloxacin,10544060420
ciprofloxacin,10544060520
ciprofloxacin,10544060610
ciprofloxacin,10544060614
ciprofloxacin,10544060620
ciprofloxacin,10544060706
ciprofloxacin,10544060710
ciprofloxacin,10544060714
ciprofloxacin,10544060720
ciprofloxacin,10544060806
ciprofloxacin,10544060810
ciprofloxacin,10544060814
ciprofloxacin,10544060820
ciprofloxacin,10544088406
ciprofloxacin,10544088420
ciprofloxacin,10544094314
ciprofloxacin,10544094320
ciprofloxacin,12280021810
ciprofloxacin,13107007701
ciprofloxacin,13913000103
ciprofloxacin,13913000130
ciprofloxacin,13913000150
ciprofloxacin,15456000103
ciprofloxacin,16252051401
ciprofloxacin,16252051501
ciprofloxacin,16252051605
ciprofloxacin,16571012025
ciprofloxacin,16571012050
ciprofloxacin,16571013510
ciprofloxacin,16571013550
ciprofloxacin,16571041110
ciprofloxacin,16571041210
ciprofloxacin,16571041250
ciprofloxacin,16571041305
ciprofloxacin,16590005310
ciprofloxacin,16590005406
ciprofloxacin,16590005410
ciprofloxacin,16590005414
ciprofloxacin,16590005420
ciprofloxacin,16590005428
ciprofloxacin,16590005430
ciprofloxacin,16590005460
ciprofloxacin,16590005471
ciprofloxacin,16590037106
ciprofloxacin,16590037110
ciprofloxacin,16590037114
ciprofloxacin,16590037120
ciprofloxacin,16590042105
ciprofloxacin,16590042125
ciprofloxacin,16590073514
ciprofloxacin,16590073520
ciprofloxacin,16590073590
ciprofloxacin,16714065102
ciprofloxacin,16714065202
ciprofloxacin,16714065204
ciprofloxacin,16714065301
ciprofloxacin,17478071410
ciprofloxacin,17478071411
ciprofloxacin,17478071425
ciprofloxacin,18837024510
ciprofloxacin,18837024514
ciprofloxacin,18837024520
ciprofloxacin,18837024530
ciprofloxacin,18837031905
ciprofloxacin,21695021006
ciprofloxacin,21695021010
ciprofloxacin,21695021014
ciprofloxacin,21695021015
ciprofloxacin,21695021020
ciprofloxacin,21695021028
ciprofloxacin,21695021030
ciprofloxacin,21695025905
ciprofloxacin,21695025910
ciprofloxacin,21695025925
ciprofloxacin,21695041106
ciprofloxacin,21695041110
ciprofloxacin,21695041114
ciprofloxacin,21695041120
ciprofloxacin,21695041160
ciprofloxacin,21695042201
ciprofloxacin,21695091440
ciprofloxacin,21695096975
ciprofloxacin,23490032004
ciprofloxacin,23490032007
ciprofloxacin,23490032008
ciprofloxacin,23490532100
ciprofloxacin,23490532101
ciprofloxacin,23490532201
ciprofloxacin,23490532202
ciprofloxacin,23490532203
ciprofloxacin,23490532204
ciprofloxacin,23490532301
ciprofloxacin,23490532302
ciprofloxacin,23490532303
ciprofloxacin,23490532304
ciprofloxacin,23490532305
ciprofloxacin,23490532306
ciprofloxacin,23490532307
ciprofloxacin,23490532308
ciprofloxacin,23490532400
ciprofloxacin,23490532401
ciprofloxacin,23490532402
ciprofloxacin,23490532403
ciprofloxacin,23490766401
ciprofloxacin,24208044405
ciprofloxacin,24208044410
ciprofloxacin,24208044425
ciprofloxacin,24338008014
ciprofloxacin,24658025001
ciprofloxacin,24658025005
ciprofloxacin,24658025011
ciprofloxacin,24658025020
ciprofloxacin,24658025060
ciprofloxacin,25021011482
ciprofloxacin,25021011487
ciprofloxacin,33261016401
ciprofloxacin,33261016402
ciprofloxacin,33261016406
ciprofloxacin,33261016407
ciprofloxacin,33261016410
ciprofloxacin,33261016413
ciprofloxacin,33261016414
ciprofloxacin,33261016415
ciprofloxacin,33261016416
ciprofloxacin,33261016420
ciprofloxacin,33261016421
ciprofloxacin,33261016424
ciprofloxacin,33261016428
ciprofloxacin,33261016430
ciprofloxacin,33261016440
ciprofloxacin,33261016442
ciprofloxacin,33261016460
ciprofloxacin,33261036707
ciprofloxacin,33261036710
ciprofloxacin,33261036714
ciprofloxacin,33261036720
ciprofloxacin,33261036721
ciprofloxacin,33261036728
ciprofloxacin,33261036730
ciprofloxacin,33261036760
ciprofloxacin,33261038101
ciprofloxacin,33261039906
ciprofloxacin,33261039907
ciprofloxacin,33261039910
ciprofloxacin,33261039912
ciprofloxacin,33261039914
ciprofloxacin,33261039920
ciprofloxacin,33261039921
ciprofloxacin,33261039928
